Vehicle_ID,Source_Block,Destination_Block,Traffic_Light_Waiting_Time,Total_Travel_Time
4,Industrial,Commercial,0,5.31
2,Commercial,Research,0,5.35
1,Residential,Research,0,5.48
8,Industrial,Logistics,0,5.36
11,Technology,Research,0,5.46
15,Residential,Research,0,5.49
17,Residential,Technology,0,5.47
19,Commercial,Technology,0,5.37
9,Financial,Logistics,29.81,35.18
20,Financial,Technology,13.43,18.83
7,Research,Financial,89.88,95.26
6,Residential,Administrative,117.17,122.51
22,Residential,Administrative,81.89,87.23
14,Commercial,Administrative,111.95,117.22
16,Commercial,Administrative,111.83,117.1
18,Research,Administrative,106.24,111.64
26,Research,Logistics,0,5.49
3,Research,Technology,147.19,152.67
24,Commercial,Technology,27.36,32.74
28,Residential,Administrative,27.3,32.67
25,Logistics,Research,27.35,32.82
30,Residential,Research,0,5.48
12,Administrative,Commercial,177.16,182.46
27,Technology,Industrial,54.59,60.0
31,Commercial,Industrial,21.98,27.3
13,Logistics,Residential,171.88,177.35
32,Research,Technology,24.6,30.09
33,Technology,Residential,24.52,30.01
35,Industrial,Logistics,0,5.37
38,Commercial,Industrial,0,5.32
39,Administrative,Residential,0,5.37
40,Technology,Logistics,0,5.48
43,Residential,Logistics,0,5.45
45,Technology,Residential,0,5.49
46,Administrative,Residential,0,5.4
47,Residential,Industrial,0,5.37
48,Financial,Residential,0,5.4
29,Financial,Research,109.19,114.57
42,Financial,Research,49.26,54.64
44,Financial,Research,46.33,51.71
50,Financial,Technology,0,5.47
5,Logistics,Financial,267.19,272.57
10,Logistics,Financial,267.11,272.49
21,Logistics,Financial,231.94,237.31
37,Residential,Administrative,84.57,89.95
41,Research,Financial,79.23,84.59
34,Commercial,Financial,109.14,114.43
36,Industrial,Financial,84.67,89.98
23,Administrative,Financial,171.97,177.3
49,Administrative,Financial,49.27,54.61
53,Commercial,Technology,21.78,27.15
52,Research,Technology,27.23,32.7
59,Commercial,Administrative,0,5.29
62,Financial,Administrative,0,5.3
60,Research,Technology,0,5.45
63,Commercial,Administrative,0,5.31
65,Research,Industrial,0,5.41
67,Research,Industrial,0,5.41
57,Research,Commercial,54.59,59.96
56,Administrative,Commercial,54.69,59.99
64,Research,Residential,51.81,57.29
66,Commercial,Residential,49.25,54.67
54,Residential,Administrative,57.36,62.76
51,Logistics,Research,87.26,92.76
61,Logistics,Research,57.25,62.74
68,Logistics,Technology,49.3,54.81
71,Industrial,Research,0,5.4
74,Administrative,Industrial,0,5.3
73,Administrative,Research,0,5.4
78,Industrial,Research,0,5.4
79,Residential,Administrative,0,5.37
81,Residential,Research,0,5.49
82,Residential,Financial,0,5.39
83,Logistics,Industrial,0,5.36
75,Administrative,Logistics,51.98,57.37
87,Industrial,Technology,0,5.41
70,Technology,Industrial,136.39,141.82
55,Technology,Research,147.36,152.87
85,Technology,Residential,73.66,79.16
91,Research,Residential,0,5.49
69,Technology,Financial,193.84,199.27
88,Technology,Financial,79.07,84.51
89,Administrative,Financial,51.92,57.25
86,Commercial,Financial,131.21,136.53
76,Commercial,Residential,144.53,149.96
