Vehicle_ID,Source,Destination,RL_Waiting_Time,Historical_Waiting_Time,Total_Travel_Time,Reward
3,Industrial,Logistics,0.12,56.09,5.5,30
5,Technology,Residential,0.02,77.41,5.5,30
9,Commercial,Residential,0.03,65.08,5.45,30
11,Industrial,Technology,0,34.7,5.42,30
7,Technology,Logistics,0,81.02,5.5,30
16,Industrial,Research,0,22.61,5.42,22.61
17,Industrial,Research,0,22.61,5.41,22.61
8,Industrial,Administrative,30.03,15.96,35.36,-14.07
13,Research,Administrative,24.5,74.72,29.94,30
10,Commercial,Industrial,30.02,22.3,35.36,-7.72
4,Administrative,Industrial,30.13,72.88,35.47,30
1,Research,Industrial,30.09,52.91,35.55,22.82
6,Logistics,Administrative,30.02,88.7,35.46,30
12,Financial,Administrative,30.02,53.05,35.37,23.03
18,Financial,Administrative,19.16,53.05,24.51,30
14,Technology,Financial,30.0,62.74,35.42,30
15,Research,Financial,30.02,49.46,35.42,19.44
21,Research,Financial,0.14,49.46,5.52,30
30,Logistics,Financial,0,192.07,5.39,30
2,Research,Logistics,60.02,53.34,65.5,-6.68
19,Research,Logistics,48.98,53.34,54.46,4.35
22,Industrial,Commercial,30.02,17.28,35.34,-12.74
20,Research,Technology,30.0,63.15,35.48,30
26,Administrative,Residential,30.05,44.96,35.43,14.91
24,Residential,Technology,30.0,80.27,35.48,30
31,Residential,Logistics,19.1,40.65,24.57,21.55
27,Industrial,Financial,59.96,28.57,65.25,-30
29,Commercial,Research,54.5,41.35,59.85,-13.15
34,Commercial,Research,24.66,41.35,30.01,16.69
23,Industrial,Research,59.97,22.61,65.37,-30
25,Industrial,Research,59.96,22.61,65.35,-30
28,Residential,Industrial,54.55,75.25,59.91,20.7
37,Residential,Industrial,24.52,75.25,29.88,30
35,Technology,Research,24.57,82.5,30.04,30
38,Industrial,Administrative,30.01,15.96,35.3,-14.05
33,Logistics,Administrative,35.43,88.7,40.84,30
36,Financial,Research,30.04,43.67,35.42,13.63
32,Technology,Residential,60.03,77.41,65.52,17.38
43,Technology,Commercial,30.01,71.67,35.38,30
40,Financial,Commercial,30.14,73.23,35.45,30
52,Industrial,Commercial,0,17.28,5.33,17.28
48,Administrative,Residential,30.0,44.96,35.39,14.95
45,Commercial,Technology,35.49,31.34,40.88,-4.15
42,Industrial,Technology,35.54,34.7,40.96,-0.84
49,Financial,Technology,30.02,47.06,35.44,17.03
